Tweet,Suicide
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post 
i want her,Not Suicide post
@FoxWhisperer Well compared to other areas west of us  I'll take our 50 degrees and run with it,Not Suicide post
@inspireinspire aw  I am so jealous! ) please  take me with you,Not Suicide post
@308Olsen Blaine  MN I dont want to be here anymore.,Potential Suicide post 
Scared of death  tired of living.,Potential Suicide post 
@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post
Ive had enough of life and the pain it causes,Potential Suicide post 
Omg the cringe I cant,Potential Suicide post 
@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post
@cgupi1  RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦,Potential Suicide post 
i want him,Not Suicide post
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post
She didn't want him to go out with other women,Not Suicide post
@adalinemusic you're welcome! It was a great way to be introduced to your music,Not Suicide post
@Cookieex3 awesome!! Can't wait to see it!!,Not Suicide post
My heart is so crushed.,Potential Suicide post 
ooo apple store is down ... so close? Credit card ready,Not Suicide post
youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post 
Not just because the House has NEVER had a Black woman in leadership  but becauseâ¦,Not Suicide post
@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post
Goooooood morning Twitter-World!,Not Suicide post
@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,Not Suicide post
everything that youâve ever dreamed of,Potential Suicide post 
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post
Going to bed goodnightttttt!,Not Suicide post
Going to school and enjoying my last day as a 16 year old but too,Not Suicide post
@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post
Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,Potential Suicide post 
RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,Not Suicide post
9 months ago my grandmother passed away  8 months ago I got my heart completely broken  7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1,Potential Suicide post 
@that_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,Potential Suicide post 
trying to figure out how this works!,Not Suicide post
My life is miserable,Potential Suicide post 
Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post
good morning all,Not Suicide post
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post
I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ? http://twt.fm/33023,Not Suicide post
Damn I fucking HATE myself,Potential Suicide post 
snuggling in bed with my little baby....ahhhh!,Not Suicide post
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post
@goobimama @EventBox isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,Not Suicide post
@semblance_er AHHHH yeah i was  but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday,Not Suicide post
@LizzieLib Could be - mine grew out  down my back and then all fell off,Not Suicide post
RT @lisapryor23: @MillwallFC @zampathelion what a fun day ! https://t.co/jr18uTkFX4,Not Suicide post
@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over  lol.,Not Suicide post
laughter is indeed the best medicine! whatever ur situation today find a reason 2 smile wholeheartedly! God is good faithful&amp;loves u &lt;3,Not Suicide post
@bradesposito They want people like me dead. They don't want to help me. If I was in Canada  Israel or Germany I woâ¦ https://t.co/UEfZi9HniT,Potential Suicide post 
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,Potential Suicide post 
RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post 
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,Potential Suicide post 
@Cellobella They don't do them in my size How r u?,Not Suicide post
It snowed! Okay  there's not enough to build Frosty  but it snowed. As long as it's cold  it might as well snow...Enjoy your day,Not Suicide post
YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note  and like I alreadyâ¦ https://t.co/FTr8WA8GLz,Potential Suicide post 
RT @B8SSONS: i hate feeling the way i do,Potential Suicide post 
glad to see spring making a comeback in Denver today!,Not Suicide post
@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post
@richard_bell nah  I think going sideways is best  really helps when dodging bullets,Not Suicide post
Iâm so done with today like I just want to fucking kill myself,Potential Suicide post 
@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,Not Suicide post
Itâs been nearly three years  but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7,Potential Suicide post 
All right so that's 200 for slytherin  590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu,Potential Suicide post 
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post 
@hillkath Hey there! Sent you a DM.,Not Suicide post
@SILVERSUN You make the milk look REALLY good in your pictures,Not Suicide post
@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,Not Suicide post
@JonathanRKnight,Not Suicide post
@catherinemarche Ooh  that's lovely,Not Suicide post
@geuphers  you will fully bloom after all the hardships. i love u ):,Not Suicide post
@myselfmp3 Aw I'm so sorry  try not to let it get to you too much  they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0,Potential Suicide post 
Showcase Quick @ VIP romm on Thursday,Not Suicide post
@MatthewTurnbull is that me? tony price is on here too as is fab,Not Suicide post
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not Suicide post
@TradingGoddess wow that was an experience you don't need to see repeated again glad he is ok.,Not Suicide post
embedding a google calendar into a site is actually seriously easy,Not Suicide post
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post 
I hate repeating myself dawg. like damn.,Potential Suicide post 
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post 
1300 words...,Not Suicide post
@__TheRealSkp Barcelona  Spain RT @kbdoll2_: Even though WE DONT WANT too  we know that we have too believe that youâre not here anymore and we know that we have to be stâ¦,Potential Suicide post 
@theshortestfuse that is so cool...good to hear...thanks for sharing!,Not Suicide post
@JacksonWang852 debuted on this week's Billboard Social 50 at #33!,Not Suicide post
@julouille3 Let me hate myself god fucking damn it,Potential Suicide post 
@Woth2982 @DDsBoston @Bostongrlkayte it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet,Not Suicide post
@IanAspin I second to that Ian - thank you,Not Suicide post
In reality social media donât care about a mans mental health or donât want to speak on it until heâs dead lets be real,Potential Suicide post 
Not everything is gold.,Not Suicide post
Became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post 
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,Potential Suicide post 
IM SO TIRED OF EVERYTHING CAN I DIE,Potential Suicide post 
still listening to some great music I got yesterday. amber pacific is awesome!!,Not Suicide post
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,Not Suicide post
@vindiekins I almost feel bad for my next post. Almost.,Not Suicide post
@LadyParadis Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,Not Suicide post
@cyberpreneur welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,Not Suicide post
@LindseyLobo How did you know?? I LOVE it!,Not Suicide post
every day just brings me closer to death i am 21 years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up ,Potential Suicide post 
@drrnlvngstn can i have yours? clouds have come in  i fear i may be too late to enjoy the weather,Not Suicide post
@chipcoffey That is great to hear!! Thanks Chip!,Not Suicide post
RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,Not Suicide post
ah.... 90's pop was so good,Not Suicide post
@rccgd I'm leaving the laptop at home. I'll put up with tweetie. I can get DMs on gmail. New friends can always send me their email addy,Not Suicide post
/thank god for @bre. Slept in and he took Ava to daycare.,Not Suicide post
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,Potential Suicide post 
Amazing night and great day...I LOVE my Heels!!!,Not Suicide post
Tired of living life with the fear of not being liked. So for now on  FUCK IT Iâm really livinâ now people!!!!!,Potential Suicide post 
jami: probably drunk driver coming onto on-coming traffic,Potential Suicide post 
RT @gracee_chang: Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,Potential Suicide post 
I'm out of all my fucking meds bc my family thought it was the best to do since I got sick  tired and slâ¦ https://t.co/6dpLNbb0sh,Potential Suicide post 
RT @princessjmee: Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post 
@babydestiny24 What's Twitter? OH!! This is Twitter. Yea... My poor little birdie! No! Here comes the FAIL WHALE!!,Not Suicide post
Im gonna fucking die  im tired of investing everything into a person and then have them throw it out. I am not madeâ¦ https://t.co/5hb6Kz74qb,Potential Suicide post 
YO sometimes Iâm just tired of living.,Potential Suicide post 
RT @JimmieAthletics: Congratulations to @JimmieFootball OL Anthony Vereen for being named GPAC Football First Team Offense 2018! #GoJimmiesâ¦,Not Suicide post
Aspiring to be as happy as @BlacYoungstaFB in every aspect of life,Not Suicide post
RT @ZachStafford: I used to check the Forbes 30 Under 30 list every year to see if I could find a husband on it.,Potential Suicide post 
@sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Potential Suicide post 
@gukdaydream so i need to work on this project and people count on me but i do fucking nothing because i think it'sâ¦ https://t.co/3xuJT5Fp0X,Potential Suicide post 
You hear this @DaveOshry? Together we could start some sort of terrible business that pays nothing and sucks our wiâ¦ https://t.co/0cD2tTVEag,Potential Suicide post 
RT @0mysky: If you find someone that makes you happy  enjoy it... life is not fair nor give many opportunities... https://t.co/dCBwDeQVH8,Not Suicide post
@phatelara debbs  PW is up on MSE! Congrats!,Not Suicide post
@thekingscosmos  My sister ruined the night before it even started I dont even want to be here anymore,Potential Suicide post 
RT @Raptors_22: I quit  I keep grinding but still fucking suck. I no life something and I still fucking suck. Iâm never gonna get into  @Faâ¦,Potential Suicide post 
i cant take this anymore might as well end this sorry as life,Potential Suicide post 
I wanna kill myself like not literally but mentally and emotionally,Potential Suicide post 
@dogcafes co '19 ð¬ð¹ i dont want to be here anymore i done ruined a good thing https://t.co/Bql3YIlI1L,Potential Suicide post 
trying out Spaz for Twitter posts. love my DestroyTwitter  but it's easier to read Spaz!,Not Suicide post
We wouldn't want them to think we were doing anything immoral.,Not Suicide post
A tweet tweet here and a tweet tweet there! Goodniiiight!!,Not Suicide post
@homerunderbyemo  Just checked out that Homerun Derby EP  it SLAPS  https://t.co/lrHB1FDz6t,Potential Suicide post 
Everything,Not Suicide post
@LaurenFisher obey the last fm algorithm. maybe it would turn out you really do like scooter if you gave him a chance,Not Suicide post
@bootylove89 Haha I wish I was. Iâm tired of living here. I wanna go down south,Potential Suicide post 
@Abipips So true- nothing induces madness like trying to figure out why ppl do what they do Hope today with yr little one is wonderful x,Not Suicide post
but HA! Internet Explorer is being nice to me Mozilla Firefox is mean.,Not Suicide post
Tired of kickin you bitches out the house ð bout ready to go to sleep and wake up to the same ting forever.,Potential Suicide post 
RT @ghoulrunnings: ive said it before and ill say it again...waluigi sucks...he sounds and looks funny and thats it...theres nothing else tâ¦,Potential Suicide post 
RT @MohammadiRashid: A year after the devastating earthquake in this city  this young mother says she &amp; her family still don't have shelterâ¦,Potential Suicide post 
@SexySubKaylee heh heh dirty is always good gurl! I like how you think,Not Suicide post
gettin off the internet... gonna finish my hair,Not Suicide post
after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse ,Potential Suicide post 
Morning! I have slacked for two days in twittering! But here I am again. Just finished a good run Ready to start a new day.,Not Suicide post
i am looking for someone to talk to all i want to do is die ,Potential Suicide post 
I donât hate the player I hate the game  Jess Glynne is probably an awesome person but I will kill myself or someonâ¦ https://t.co/kIkyGgqYus,Potential Suicide post 
I am loving what I just read about #VR. Love it!,Not Suicide post
Just watched Chuck  going out with Mel soon,Not Suicide post
@brigham oh! thank you!! I'm just glad to not be shutting stuff across the street anymore.. it's a little slower w/ the unpacking tho!,Not Suicide post
@suesshirtshop Same to you  Sue!,Not Suicide post
@Shy_Tide England Yeah no i dont want to be here anymore it hurts too much and im struggling too much,Potential Suicide post 
@BookThingo I want to read P. D. James's THE CHILDREN OF MEN  though - interesting premise. Yay for futuristics!,Not Suicide post
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life ,Potential Suicide post 
Realizing that I will not get a surprise certified letter stating that I am the sole heir of a wealthy family's inhâ¦ https://t.co/5DzyWg70Tu,Not Suicide post
@LFTA What about Blur - Song #2 ???,Not Suicide post
@Chels_V morning,Not Suicide post
tired of waking up. tired of wanting to die. tired of everything.,Potential Suicide post 
